word;fc_count;stopword;rfc_count;fcTotalCount;rfcTotalCount;simpleMathsScore
seegi;1;no;33409;675;932062911;40.23655321078079
interneti;1;no;33969;675;932062911;39.59094336630424
pääseda;1;no;34056;675;932062911;39.49249801705383
vasta;1;no;34509;675;932062911;38.98771344987956
maksimaalselt;1;no;34921;675;932062911;38.53969209167024
koguda;1;no;36137;675;932062911;37.27545010918504
isikute;1;no;37949;675;932062911;35.538277549050775
nõuetele;1;no;37950;675;932062911;35.53736354719778
tööandja;1;no;38551;675;932062911;34.99642386528887
paljudes;1;no;39087;675;932062911;34.52769516882959
Euroopas;2;no;79509;675;932062911;34.34315568917812
esitab;1;no;39429;675;932062911;34.235124287488375
võimaldavad;1;no;39876;675;932062911;33.86012240146692
püüab;1;no;40438;675;932062911;33.40014270961673
Kristjan;1;no;42007;675;932062911;32.17969632912612
liikuma;1;no;42119;675;932062911;32.09597886095784
suuruse;1;no;43136;675;932062911;31.35526986797312
liikmete;1;no;46119;675;932062911;29.367370674429147
pakkumine;1;no;46289;675;932062911;29.26164554443657
töös;1;no;46445;675;932062911;29.16529476993822
isiku;1;no;47251;675;932062911;28.67742151812791
õigus;3;no;144824;675;932062911;28.4271803644126
vastava;1;no;48634;675;932062911;27.8772596406194
aeg-ajalt;1;no;50193;675;932062911;27.02717466653568
säilitada;1;no;51077;675;932062911;26.567792761383835
looma;1;no;51105;675;932062911;26.55349721594556
pealegi;1;no;52035;675;932062911;26.08726875143123
sega;1;no;52357;675;932062911;25.929636020077137
puudutab;1;no;52737;675;932062911;25.74604306813816
kasvu;1;no;52799;675;932062911;25.7163348400901
vanem;1;no;53501;675;932062911;25.384682236097184
levinud;1;no;54624;675;932062911;24.87156095540448
liikmesriigid;1;no;56139;675;932062911;24.211324174705315
keelatud;1;no;60134;675;932062911;22.62739628633109
jätab;1;no;60277;675;932062911;22.57453291095725
kommentaari;1;no;60461;675;932062911;22.50687520080785
ülevaate;1;no;60942;675;932062911;22.331910014067805
kultuuri;1;no;61546;675;932062911;22.116018659246013
jätkata;1;no;63673;675;932062911;21.387890404762
esmalt;1;no;66641;675;932062911;20.4484737794576
