word;upos;ner tag;fc_count;stopword;rfc_count;fcTotalCount;rfcTotalCount;simpleMathsScore
tugev;ADJ;O;1;no;99710;454;932046280;20.40794575077611
proov;NOUN;O;1;no;5545;454;932046280;317.1040211757355
saabumise;NOUN;O;1;no;9342;454;932046280;199.91124867011393
päev;NOUN;O;1;no;1;454;932046280;2201.2813991706166
siis;ADV;O;3;yes;1;454;932046280;6601.846341028247
võttis;VERB;O;1;no;190514;454;932046280;10.72833553180516
teatri;NOUN;O;3;no;38352;454;932046280;156.80228369866427
vastuolumahutusi;NOUN;O;1;no;1;454;932046280;2201.2813991706166
linnavalitsus;NOUN;O;1;no;1;454;932046280;2201.2813991706166
hommikul;NOUN;O;1;no;194421;454;932046280;10.51377216706149
toimus;VERB;O;1;no;172470;454;932046280;11.84471270548226
vastuvõtt;NOUN;O;1;no;1;454;932046280;2201.2813991706166
paratski;NOUN;O;1;no;1;454;932046280;2201.2813991706166
nimelise;ADJ;O;1;no;10628;454;932046280;177.67207595723733
mari;NOUN;O;1;no;42640;454;932046280;47.1379610572042
hektari;NOUN;O;1;no;7036;454;932046280;257.7667534241956
juures;ADP;O;1;yes;2;454;932046280;2198.9246836134707
enne;ADP;O;1;yes;1;454;932046280;2201.2813991706166
proovi;NOUN;O;1;no;47876;454;932046280;42.081123447282124
külastasid;VERB;O;1;no;5568;454;932046280;315.9819687821267
ning;CCONJ;O;1;yes;1;454;932046280;2201.2813991706166
tehniline;ADJ;O;1;no;22237;454;932046280;88.64833691934508
personal;NOUN;O;1;no;10824;454;932046280;174.70987879858356
vanamoodi;ADV;O;1;no;818;454;932046280;1173.6246316465065
tööstusettevõte;NOUN;O;1;no;239;454;932046280;1753.8994451434824
programm;NOUN;O;1;no;52307;454;932046280;38.578779377964075
hinge;NOUN;O;1;no;49300;454;932046280;40.88818936980281
tõmbamiseks;NOUN;O;1;no;1373;454;932046280;891.0438972745219
palju;ADV;O;1;yes;3;454;932046280;2196.5730089096114
aega;NOUN;O;1;no;1;454;932046280;2201.2813991706166
pole;AUX;O;1;yes;1;454;932046280;2201.2813991706166
andnud;VERB;O;1;no;113588;454;932046280;17.93482876969493
minema;VERB;O;1;yes;170015;454;932046280;12.014816666473372
laupäevase;ADJ;O;1;no;2190;454;932046280;657.8689860834922
ärasõidupäevani;NOUN;O;1;no;1;454;932046280;2201.2813991706166
välja;ADV;O;1;yes;1;454;932046280;2201.2813991706166
onu;NOUN;O;1;no;18066;454;932046280;108.11098101658794
moodsa;ADJ;O;1;no;1;454;932046280;2201.2813991706166
teatriga;NOUN;O;1;no;2110;454;932046280;675.1696824051404
seovad;VERB;O;1;no;3301;454;932046280;485.2055198246826
vanemaist;ADJ;O;1;no;181;454;932046280;1845.2938189859806
üle;ADV;O;1;yes;2;454;932046280;2198.9246836134707
kümneaastased;ADJ;O;1;no;221;454;932046280;1781.2792568302973
sidemed;NOUN;O;1;no;7252;454;932046280;250.9635637995609
meie;PRON;O;4;yes;3;454;932046280;8783.301660830473
vabariik;NOUN;O;1;no;15197;454;932046280;127.34152937958704
tšehhoslovakkias;PROPN;O;1;no;514;454;932046280;1420.3538635909626
üldse;ADV;O;1;no;2;454;932046280;2198.9246836134707
delegatsiooni;NOUN;O;1;no;6564;454;932046280;273.9974306467781
juht;NOUN;O;1;no;162546;454;932046280;12.563750714340499
nsv;PROPN;O;2;no;28635;454;932046280;138.9000022622036
kultuuriministri;NOUN;O;1;no;1415;454;932046280;875.0988160017616
asetäitja;NOUN;O;1;no;10750;454;932046280;175.81657968995302
jaak;PROPN;O;1;no;38536;454;932046280;52.03950066740772
grille;NOUN;O;1;no;268;454;932046280;1711.5151765058085
viimane;ADJ;O;1;no;2;454;932046280;2198.9246836134707
mulle;PRON;O;1;yes;1;454;932046280;2201.2813991706166
meenub;VERB;O;1;no;17513;454;932046280;111.35225087271178
oli;AUX;O;4;yes;1;454;932046280;8802.128811957062
neil;PRON;O;1;yes;1;454;932046280;2201.2813991706166
põhjust;NOUN;O;1;no;71409;454;932046280;28.391867775586437
rääkida;VERB;O;1;no;1;454;932046280;2201.2813991706166
seoses;ADP;O;1;no;198334;454;932046280;10.307312555613672
