lemma;upos;ner tag;fc_count;stopword;rfc_count;fcTotalCount;rfcTotalCount;simpleMathsScore
jõudma;VERB;O;4;no;869599;4541;932020281;0.9441529493774203
kõige;ADV;O;3;yes;1014102;4541;932020281;0.6075351323117854
südamelähedane;ADJ;O;1;no;5473;4541;932020281;32.1900031141307
siiani;ADV;O;3;yes;113897;4541;932020281;5.370322121562305
praegu;ADV;O;6;yes;544031;4541;932020281;2.2614481891051885
tegelema;VERB;O;4;no;308940;4541;932020281;2.6524318961663838
õppimine;NOUN;O;1;no;81012;4541;932020281;2.516078929059644
kõlama;VERB;O;1;no;91397;4541;932020281;2.233074954807992
pais;ADJ;O;1;no;3118;4541;932020281;50.90780008157204
malelinn;NOUN;O;1;no;1;4541;932020281;220.97871502908976
paide;PROPN;O;7;no;54891;4541;932020281;25.753734402356276
maleklubi;NOUN;O;1;no;604;4541;932020281;134.22845084912018
tasapisi;ADV;O;1;no;24110;4541;932020281;8.233266345043747
võim;NOUN;O;1;no;145099;4541;932020281;1.4118755206580305
süüdi;ADV;O;1;no;54090;4541;932020281;3.7471837954786396
jakkuma;VERB;O;1;no;14;4541;932020281;217.94207474444227
peale;ADP;O;10;yes;1213606;4541;932020281;1.6906741584841642
treeneritöö;NOUN;O;1;no;1602;4541;932020281;81.36384082533722
kolmas;ADJ;O;2;no;379744;4541;932020281;1.080770007520369
kool;NOUN;O;2;no;592567;4541;932020281;0.6932163512369857
direktor;NOUN;O;1;no;74907;4541;932020281;2.718621918209485
talvine;ADJ;O;1;no;32237;4541;932020281;6.215969632047398
kuu;NOUN;O;1;no;565905;4541;932020281;0.36373351671570625
eesti;ADJ;O;3;no;3051164;4541;932020281;0.20204764978383785
andma;VERB;O;8;no;1683851;4541;932020281;0.975138531542577
maletunne;NOUN;O;2;no;1;4541;932020281;440.9585018462428
siiamaani;ADV;O;1;no;30844;4541;932020281;6.488465860992074
jooksma;VERB;O;1;no;188440;4541;932020281;1.088743851840009
organiseerima;VERB;O;1;no;31161;4541;932020281;6.424375798420051
klubi;NOUN;O;10;no;215528;4541;932020281;9.486223103554984
puudus;NOUN;O;1;no;72145;4541;932020281;2.8213742432115336
teine;ADJ;O;2;yes;2488232;4541;932020281;0.16528570313155788
sisse;ADV;O;2;yes;548285;4541;932020281;0.7491086585252238
saama;AUX;O;11;yes;7285159;4541;932020281;0.3099925106081031
süsteem;NOUN;O;4;no;273337;4541;932020281;2.996745419809921
viimane;ADJ;O;6;no;977416;4541;932020281;1.259680205608012
neli;NUM;O;3;no;337422;4541;932020281;1.8225550484083
karikas;NOUN;O;1;no;23683;4541;932020281;8.376089901116433
selline;PRON;O;1;yes;1661084;4541;932020281;0.12405272890005081
hea;ADJ;O;7;no;1655352;4541;932020281;0.8679980125693143
loodus;NOUN;O;2;no;176459;4541;932020281;2.319301307643402
lahtine;ADJ;O;1;no;51550;4541;932020281;3.928538224853788
siduma;VERB;O;1;no;61677;4541;932020281;3.2930977336188905
ilma;ADP;O;3;yes;448642;4541;932020281;1.3716736287985247
järjepanu;ADV;O;1;no;2488;4541;932020281;60.285497117337194
tähendama;VERB;O;1;no;444609;4541;932020281;0.4627578907581288
pidama;AUX;O;11;yes;3575612;4541;932020281;0.63151288928316
