word;upos;ner tag;count;stopword
jutte;NOUN;O;1;no
rituaale;NOUN;O;1;no
endal;PRON;O;2;yes
taibukas;ADJ;O;1;no
võimalikult;ADV;O;1;no
ruttu;ADV;O;1;no
omandada;VERB;O;1;no
uue;ADJ;O;2;no
elukorralduse;NOUN;O;1;no
mitmed;DET;O;1;yes
kirjutamata;ADJ;O;1;no
õigused;NOUN;O;1;no
kohustused;NOUN;O;1;no
osanud;VERB;O;2;no
karta;VERB;O;1;no
virila;NOUN;O;1;no
käitumisega;NOUN;O;1;no
lükkab;VERB;O;1;no
otsustaja;NOUN;O;1;no
liidrite;NOUN;O;2;no
kuulunud;VERB;O;1;no
päris;ADJ;O;1;yes
liidriks;NOUN;O;1;no
tõusnud;VERB;O;1;no
maa;NOUN;O;1;no
kodu;NOUN;O;1;no
kambas;NOUN;O;2;no
kunagi;ADV;O;1;yes
enne;ADV;O;2;yes
sai;VERB;O;1;yes
poisipõlv;NOUN;O;1;no
otsa;ADV;O;2;yes
võinud;AUX;O;2;yes
ennast;PRON;O;3;yes
pidada;VERB;O;2;yes
raudliikmeks;NOUN;O;1;no
esimene;ADJ;O;2;no
määratud;ADJ;O;1;no
kõlanud;VERB;O;1;no
paar;NUM;O;1;no
kevadet;NOUN;O;1;no
tagasi;ADP;O;1;yes
harilik;ADJ;O;1;no
lihtliige;NOUN;O;1;no
innukas;ADJ;O;1;no
aitas;VERB;O;1;no
sellestki;PRON;O;1;no
pidasin;VERB;O;1;yes
kampa;NOUN;O;2;no
kuulumist;NOUN;O;1;no
suureks;ADJ;O;1;no
asjaks;NOUN;O;1;no
auahnus;NOUN;O;1;no
uinus;VERB;O;1;no
alles;ADV;O;1;yes
suundunute;NOUN;O;1;no
isale;NOUN;O;1;no
tibutama;VERB;O;1;no
taevas;NOUN;O;1;no
kiskus;VERB;O;1;no
aina;ADV;O;1;yes
tumedamaks;ADJ;O;2;no
kõrge;ADJ;O;1;no
linnuseküngas;NOUN;O;1;no
tooni;NOUN;O;1;no
nägi;VERB;O;1;no
välja;ADV;O;6;yes
oleks;AUX;O;1;yes
sügis;NOUN;O;1;no
no;INTJ;O;4;no
kutid;NOUN;O;1;no
lähme;VERB;O;2;yes
karjatasin;VERB;O;1;no
onni;NOUN;O;7;no
koe;NOUN;O;1;no
teile;PRON;O;2;yes
ausalt;ADV;O;1;no
valeta;VERB;O;1;no
karje;NOUN;O;1;no
rebis;VERB;O;1;no
end;PRON;O;1;yes
seest;ADP;O;1;yes
kähku;ADV;O;1;no
ootamatult;ADV;O;1;no
parata;ADV;O;1;no
selle;DET;O;3;yes
karjatuse;NOUN;O;1;no
peremees;NOUN;O;1;no
sain;VERB;O;3;yes
riskantset;ADJ;O;1;no
hirmsat;ADJ;O;1;no
ilmselt;ADV;O;2;no
mõõtka;NOUN;O;1;no
ääreni;NOUN;O;1;no
täis;ADV;O;1;no
pärast;ADP;O;1;yes
visiiti;NOUN;O;1;no
suutnud;VERB;O;1;no
kõike;PRON;O;1;yes
endale;PRON;O;1;yes
ületas;VERB;O;1;no
võimed;NOUN;O;1;no
võimalused;NOUN;O;1;no
sõprade;NOUN;O;2;no
muutunud;ADJ;O;1;no
ilmed;NOUN;O;1;no
ütlesid;VERB;O;1;no
mõjunud;VERB;O;1;no
veenvalt;ADV;O;2;no
toimis;VERB;O;1;no
camp;NOUN;O;1;no
otsustavatel;ADJ;O;1;no
puhkudel;NOUN;O;1;no
algava;ADJ;O;1;no
vihmaga;NOUN;O;1;no
võidu;NOUN;O;1;yes
joostes;VERB;O;2;no
kiirelt;ADV;O;1;no
asjalikult;ADV;O;1;no
nobedalt;ADV;O;1;no
mööda;ADP;O;1;yes
jõeäärset;ADJ;O;1;no
jalgrada;NOUN;O;1;no
karates;NOUN;O;1;no
küngaste;NOUN;O;1;no
üles;ADV;O;1;yes
lõunaservast;NOUN;O;1;no
paremale;ADV;O;1;no
rabinal;ADV;O;1;no
läbimärgade;NOUN;O;1;no
põõsaste;NOUN;O;1;no
mehe;NOUN;O;1;no
kõrguste;ADJ;O;1;no
putke;NOUN;O;1;no
puhmade;NOUN;O;1;no
paljajalu;ADV;O;1;no
madalaga;NOUN;O;1;no
libedapõhjaga;NOUN;O;1;no
kärestiku;NOUN;O;1;no
kaldale;NOUN;O;1;no
kus;ADV;O;1;yes
kahvatu;ADJ;O;1;no
külmetav;ADJ;O;1;no
viriseb;VERB;O;1;no
samas;DET;O;1;yes
uudishimust;NOUN;O;1;no
pakatav;ADJ;O;1;no
jõmpsikas;NOUN;O;1;no
kategooriliselt;ADV;O;1;no
käratati;VERB;O;1;no
kükitasime;VERB;O;1;no
onnis;NOUN;O;3;no
koopaks;NOUN;O;1;no
nimetada;VERB;O;1;no
eelmise;ADJ;O;1;yes
suve;NOUN;O;1;no
lõpul;NOUN;O;1;no
kaevanud;VERB;O;1;no
pehmesse;ADJ;O;1;no
kalda;NOUN;O;1;no
järsakusse;NOUN;O;1;no
ebaloomulikult;ADV;O;1;no
risti-põiki;NOUN;O;1;no
vähendu;NOUN;O;1;no
kasvanud;VERB;O;1;no
sarapuude;NOUN;O;1;no
sõnajalgade;NOUN;O;1;no
nõgeste;ADJ;O;1;no
tihedasse;ADJ;O;1;no
varju;NOUN;O;1;no
avastanud;VERB;O;1;no
vaenulik;ADJ;O;1;no
silm;NOUN;O;2;no
nüüdistusime;VERB;O;1;no
seinte;NOUN;O;1;no
ääres;ADP;O;1;yes
kel;PRON;O;1;yes
jalad;NOUN;O;1;no
sirgu;ADV;O;1;no
kelme;NOUN;O;1;no
lõua;NOUN;O;1;no
upitatud;VERB;O;1;no
jäi;VERB;O;1;no
lahedasti;ADV;O;1;no
ülegi;ADV;O;1;no
praokil;NOUN;O;1;no
ukse;NOUN;O;2;no
taga;ADP;O;1;yes
sahisesid;VERB;O;1;no
puulehed;NOUN;O;1;no
krabises;VERB;O;1;no
vihm;NOUN;O;1;no
jahe;ADJ;O;1;no
hämar;ADJ;O;1;no
õhtul;NOUN;O;1;no
lae;NOUN;O;1;no
alt;ADP;O;1;yes
riiulilt;NOUN;O;1;no
mahuka;ADJ;O;1;no
plekk-karbi;NOUN;O;1;no
hoiti;VERB;O;1;no
väärisasju;NOUN;O;1;no
