lemma;upos;ner tag;fc_count;stopword;rfc_count;fcTotalCount;rfcTotalCount;simpleMathsScore
?;PUNCT;O;10;no;1;3415;932062935;2926.1182867744515
ikka;ADV;O;6;yes;1123255;3415;932062935;1.4575192948628546
Hruštšov;PROPN;O;1;no;1671;3415;932062935;105.20840838717338
sula;NOUN;O;1;no;6744;3415;932062935;35.67767886246417
päev;NOUN;O;3;no;1360298;3415;932062935;0.6021966612547002
jälgima;VERB;O;3;no;189257;3415;932062935;4.310070129422411
nüüd;ADV;O;7;yes;1119277;3415;932062935;1.7063389718012583
elukäik;NOUN;O;1;no;4073;3415;932062935;54.7174155209687
kõige;ADV;O;4;yes;1010725;3415;932062935;1.0800698028212958
põgusamalt;ADV;O;1;no;77;3415;932062935;271.4043879958728
teatavasti;ADV;O;1;no;18150;3415;932062935;14.351913063900298
põgenema;VERB;O;3;no;38038;3415;932062935;21.034818457087063
Saksa;PROPN;O;2;no;41368;3415;932062935;12.926603786647258
mobilisatsioon;NOUN;O;1;no;1446;3415;932062935;115.16268316212336
eest;ADP;O;2;yes;1110901;3415;932062935;0.49179698997938065
kuuluma;VERB;O;4;no;324317;3415;932062935;3.3594570100432275
soomepoiss;NOUN;O;1;no;939;3415;932062935;146.36819702860188
tuliselt;ADV;O;1;no;1687;3415;932062935;104.56568441452673
tagasi;ADV;O;3;yes;880780;3415;932062935;0.9297005604871859
laev;NOUN;O;4;no;120837;3415;932062935;8.973217155085077
Saksamaa;PROPN;O;4;no;155966;3415;932062935;6.964141073810744
vahepeal;ADV;O;1;yes;137006;3415;932062935;1.985413616052054
dramaatiline;ADJ;O;1;no;8253;3415;932062935;29.816247342130396
episood;NOUN;O;1;no;22236;3415;932062935;11.820759857712039
laevlane;NOUN;O;1;no;1;3415;932062935;293.51086411228425
jalt;NOUN;O;1;no;35;3415;932062935;283.1916087477742
ära;ADV;O;4;yes;1430862;3415;932062935;0.7631406448544414
pääsema;VERB;O;2;no;185619;3415;932062935;2.9310803439458746
suur;ADJ;O;7;no;1616990;3415;932062935;1.181426735218303
vaev;NOUN;O;1;no;66945;3415;932062935;4.034707697727731
altkajutis;NOUN;O;1;no;1;3415;932062935;293.51086411228425
lõpuks;ADV;O;2;no;285373;3415;932062935;1.9098375282141893
laevalagi;NOUN;O;2;no;216;3415;932062935;476.2771595888063
kusjuures;ADV;O;5;yes;87015;3415;932062935;15.527434848896023
trepp;NOUN;O;1;no;34625;3415;932062935;7.702101515629419
pealt;ADP;O;1;yes;172269;3415;932062935;1.5811918453743647
isegi;ADV;O;1;yes;696376;3415;932062935;0.3927447893980864
inimene;NOUN;O;3;no;2519709;3415;932062935;0.3252062386639461
Stu;PROPN;O;1;no;780;3415;932062935;159.96147263301052
jõudma;VERB;O;5;no;869599;3415;932062935;1.5686887556555067
niivõrd;ADV;O;3;yes;53689;3415;932062935;15.007547547627789
õige;ADJ;O;3;no;397744;3415;932062935;2.0561259511400123
suutma;VERB;O;3;no;607518;3415;932062935;1.347239895324907
vesi;NOUN;O;3;no;438559;3415;932062935;1.8651760370841006
hüppama;VERB;O;1;no;55809;3415;932062935;4.826559358549918
üks;PRON;O;2;yes;3226979;3415;932062935;0.16939628851292146
põhjaminevalt;ADV;O;1;no;1;3415;932062935;293.51086411228425
pikem;ADJ;O;2;no;144795;3415;932062935;3.7521936056234173
mingisugune;DET;O;2;yes;53640;3415;932062935;10.019708332490001
luuk;NOUN;O;1;no;13549;3415;932062935;18.911878882942936
najal;ADP;O;3;yes;7226;3415;932062935;100.48073980676915
ise;PRON;O;8;yes;3509459;3415;932062935;0.6222635560758891
peal;ADP;O;2;yes;291595;3415;932062935;1.8692156145309788
hoidma;VERB;O;2;no;581451;3415;932062935;0.9388943266229851
kuni;SCONJ;O;1;yes;831401;3415;932062935;0.3290318750011991
mäletama;VERB;O;1;no;147820;3415;932062935;1.8410777162980536
missugune;ADJ;O;2;yes;32839;3415;932062935;16.191262761359347
nae;NOUN;O;1;no;582;3415;932062935;180.88026725454063
pääsenud;ADJ;O;1;no;427;3415;932062935;201.50951164229502
välja;ADV;O;8;yes;1817185;3415;932062935;1.2014564246554502
noppima;VERB;O;1;no;15155;3415;932062935;17.023872501123783
nii;ADV;O;21;yes;3430987;3415;932062935;1.67034971133043
sattuma;VERB;O;1;no;202967;3415;932062935;1.3431356887123016
õnnestuma;VERB;O;3;no;177653;3415;932062935;4.590127447542131
mõni;DET;O;3;yes;1272983;3415;932062935;0.6434716277005103
pärast;ADP;O;4;yes;1109488;3415;932062935;0.9840062161691481
Taani;PROPN;O;2;no;52674;3415;932062935;10.200266980509381
sealtkaudu;ADV;O;1;no;2084;3415;932062935;90.80185467780836
Rootsi;PROPN;O;8;no;146579;3415;932062935;14.8083023915399
muide;ADV;O;6;yes;55534;3415;932062935;29.017860465127978
põgenenud;ADJ;O;1;no;6278;3415;932062935;37.98359470533445
rahvateadlane;NOUN;O;1;no;28;3415;932062935;285.2564121986379
etnoloogia;NOUN;O;4;no;931;3415;932062935;586.4859549078928
hästi;ADV;O;2;no;574210;3415;932062935;0.9507149432274871
vastu;ADV;O;2;yes;1054024;3415;932062935;0.5183117789661715
sealne;ADJ;O;1;no;64702;3415;932062935;4.17259112229899
Sigvard;PROPN;O;1;no;78;3415;932062935;271.1356875232672
Erikson;PROPN;O;1;no;906;3415;932062935;148.99604529754262
kõik;PRON;O;3;yes;3138760;3415;932062935;0.26108554045032567
rakendama;VERB;O;1;no;104055;3415;932062935;2.608551003017867
rahvateadus;NOUN;O;3;no;103;3415;932062935;791.9597653247841
instituut;NOUN;O;1;no;52277;3415;932062935;5.146944772501361
sinna;ADV;O;5;yes;368268;3415;932062935;3.6987867201837177
kõigepealt;ADV;O;3;yes;78956;3415;932062935;10.260959760232824
rääkima;VERB;O;11;no;1111753;3415;932062935;2.699042759036636
etnograafia;NOUN;O;2;no;935;3415;932062935;292.86433973956446
kas;ADV;O;9;yes;1985401;3415;932062935;1.2371140154088849
termin;NOUN;O;2;no;25135;3415;932062935;20.97651565404441
kuidas;ADV;O;4;yes;1317035;3415;932062935;0.829049735168431
piiritlema;VERB;O;1;no;5345;3415;932062935;43.62933925609815
enam-vähem;ADV;O;2;no;34786;3415;932062935;15.308673225254463
kattuv;ADJ;O;1;no;1543;3415;932062935;110.6493513559865
siin;ADV;O;3;yes;842300;3415;932062935;0.9721264585762919
Ida-Euroopa;PROPN;O;1;no;13496;3415;932062935;18.981349718030888
peale;ADV;O;2;yes;1209468;3415;932062935;0.4517482859221827
rohkem;ADV;O;3;yes;1093000;3415;932062935;0.7493410485653619
Lääne-Euroopa;NOUN;O;1;no;8321;3415;932062935;29.597130187788366
rootslane;NOUN;O;1;no;17219;3415;932062935;15.088047972932344
rahvas;NOUN;O;2;no;291924;3415;932062935;1.8671157026117327
uurimine;NOUN;O;8;no;86613;3415;932062935;24.95158896237023
edasi;ADV;O;3;yes;598918;3415;932062935;1.366555160614876
eks;ADV;O;5;yes;283895;3415;932062935;4.794461157599376
seesama;DET;O;2;yes;50200;3415;932062935;10.693801938053731
asi;NOUN;O;2;no;1422865;3415;932062935;0.38404079341463776
maksaprobleem;NOUN;O;1;no;117;3415;932062935;261.05593781463085
vajadus;NOUN;O;1;no;372963;3415;932062935;0.7324624887347181
viljakam;ADJ;O;1;no;1509;3415;932062935;112.19051520398187
periood;NOUN;O;2;no;129071;3415;932062935;4.206025160994706
mööduma;VERB;O;1;no;78073;3415;932062935;3.46641212789503
Turu;PROPN;O;4;no;10603;3415;932062935;94.72512205994103
Ülikool;PROPN;O;5;no;119670;3415;932062935;11.323125464370987
juures;ADP;O;4;yes;402814;3415;932062935;2.70630563315954
ütlema;VERB;O;22;no;1762423;3415;932062935;3.4056879341561404
muidugi;ADV;O;9;yes;424562;3415;932062935;5.775216825533795
pidama;VERB;O;3;yes;3575612;3415;932062935;0.22919561025239915
esmajoones;ADV;O;1;no;5479;3415;932062935;42.717426283227425
