word;upos;ner tag;fc_count;stopword;rfc_count;fcTotalCount;rfcTotalCount;simpleMathsScore
toorest;ADJ;O;1;no;2961;5229;932062911;46.025675600318564
enesetunne;NOUN;O;1;no;11280;5229;932062911;14.672447393955112
teemaja;NOUN;O;1;no;372;5229;932062911;137.4019988774283
asub;VERB;O;1;no;273380;5229;932062911;0.6532007697067728
Kuressaarest;PROPN;O;1;no;3784;5229;932062911;37.99373630393834
küllaltki;ADV;O;1;no;27156;5229;932062911;6.379252681150399
metsa;NOUN;O;2;no;72915;5229;932062911;4.840133436131476
sees;ADP;O;1;yes;1;5229;932062911;192.03512273495335
vahel;ADV;O;1;yes;1;5229;932062911;192.03512273495335
hirmu;NOUN;O;1;no;28442;5229;932062911;6.099968233070618
sea;NOUN;O;1;no;12329;5229;932062911;13.511801567933746
kül;ADV;O;1;no;2665;5229;932062911;49.81309892728697
ilm;NOUN;O;1;no;88381;5229;932062911;2.006211015424145
sõbralik;ADJ;O;1;no;26452;5229;932062911;6.5432529575931575
õhkkond;NOUN;O;1;no;7786;5229;932062911;20.552828359065494
liikumine;NOUN;O;1;no;41853;5229;932062911;4.1879300494671154
märkavad;VERB;O;1;no;3175;5229;932062911;43.62749110889328
ükski;DET;O;1;no;1;5229;932062911;192.03512273495335
halb;ADJ;O;1;no;68936;5229;932062911;2.564560160506578
halvad;ADJ;O;1;no;14065;5229;932062911;11.94772947854295
vaimud;NOUN;O;1;no;2703;5229;932062911;49.292365777522534
tõrjuda;VERB;O;1;no;5696;5229;932062911;27.03366776074915
jääst;NOUN;O;1;no;1716;5229;932062911;67.66487680069994
ligimest;NOUN;O;1;no;1128;5229;932062911;86.97833919369944
naabrit;NOUN;O;1;no;1443;5229;932062911;75.44257030138004
suurem;ADJ;O;1;no;1;5229;932062911;192.03512273495335
vaenlane;NOUN;O;1;no;6965;5229;932062911;22.68955593398309
mõtet;NOUN;O;1;no;99971;5229;932062911;1.7757721665135335
puhtad;ADJ;O;3;no;14090;5229;932062911;35.659444994448776
hoidma;VERB;O;2;no;28639;5229;932062911;12.087142062880572
teod;NOUN;O;1;no;11557;5229;932062911;14.347021222505061
elada;VERB;O;2;no;104163;5229;932062911;3.4010126494555295
lihtsam;ADJ;O;1;no;81663;5229;932062911;2.169389359584283
ümbrus;NOUN;O;1;no;9580;5229;932062911;17.045260492668852
aastasel;ADJ;O;1;no;1378;5229;932062911;77.56535537629688
tegite;VERB;O;1;yes;3976;5229;932062911;36.50744782258922
keskel;ADP;O;1;yes;73391;5229;932062911;2.4108378155496957
küpsetasime;VERB;O;1;no;483;5229;932062911;126.6239467096865
kringlit;NOUN;O;1;no;1003;5229;932062911;92.596912283705
panime;VERB;O;1;no;15358;5229;932062911;10.999395865581617
verivorst;NOUN;O;1;no;657;5229;932062911;112.75881489207941
ahju;NOUN;O;1;no;25824;5229;932062911;6.69683171359463
käisime;VERB;O;3;no;42459;5229;932062911;12.34536308033502
saunas;NOUN;O;1;no;11230;5229;932062911;14.732767947718589
kuulasime;VERB;O;1;no;2585;5229;932062911;50.946160238678154
vaikselt;ADV;O;3;no;73598;5229;932062911;7.187414113921163
külalisi;NOUN;O;1;no;14742;5229;932062911;11.431678668813394
väikesed;ADJ;O;1;no;55600;5229;932062911;3.169543820033726
koerad;NOUN;O;1;no;19289;5229;932062911;8.861099509059228
naabrite;NOUN;O;1;no;9995;5229;932062911;16.397896863295347
jalutamas;VERB;O;1;no;6987;5229;932062911;22.626521931581838
tohutult;ADV;O;1;no;25401;5229;932062911;6.804405975822486
selge;ADJ;O;1;no;153014;5229;932062911;1.1639196692994138
tähistaevas;NOUN;O;1;no;741;5229;932062911;107.09749732376791
tundsime;VERB;O;1;no;3382;5229;932062911;41.534130199270486
mõnusast;ADJ;O;1;no;1628;5229;932062911;69.99079978207529
vaikusest;NOUN;O;1;no;786;5229;932062911;104.29236874045868
oht;NOUN;O;1;no;1;5229;932062911;192.03512273495335
vaikus;NOUN;O;1;no;17813;5229;932062911;9.558828982546158
üle;ADP;O;2;yes;2;5229;932062911;382.66120423620555
pika;ADJ;O;1;no;80064;5229;932062911;2.2122167941694295
aja;NOUN;O;1;no;309245;5229;932062911;0.5776727942153825
suutsin;VERB;O;1;no;18969;5229;932062911;9.003581941056948
harjub;VERB;O;1;no;4395;5229;932062911;33.63595542739365
kõigega;PRON;O;1;yes;13872;5229;932062911;12.103491569208304
vahetaks;VERB;O;1;no;3289;5229;932062911;42.44922532814575
millegi;PRON;O;1;yes;54182;5229;932062911;3.251091303551055
publiku;NOUN;O;3;no;25535;5229;932062911;20.239436006906523
õppis;VERB;O;1;no;27501;5229;932062911;6.301848351483706
heade;ADJ;O;2;no;33311;5229;932062911;10.43801599420645
mõtetega;NOUN;O;1;no;6511;5229;932062911;24.07353703386128
naudin;VERB;O;1;no;9783;5229;932062911;16.722333048494956
lähen;VERB;O;2;yes;63868;5229;932062911;5.5158841257075535
ära;AUX;O;1;yes;1;5229;932062911;192.03512273495335
kogun;VERB;O;1;no;3086;5229;932062911;44.59383902197888
jõudu;NOUN;O;1;no;1;5229;932062911;192.03512273495335
Tiiduga;PROPN;O;1;no;185;5229;932062911;160.4035447501469
saate;AUX;O;1;yes;170136;5229;932062911;1.0474243268104264
proovida;VERB;O;2;no;92336;5229;932062911;3.8322832832575164
harjutada;VERB;O;1;no;16357;5229;932062911;10.363826631651374
musitseeris;VERB;O;1;no;278;5229;932062911;148.0756487984928
teiega;PRON;O;1;yes;22663;5229;932062911;7.593997579459043
Tiidul;PROPN;O;1;no;170;5229;932062911;162.58677144912812
koormuserite;NOUN;O;1;no;1;5229;932062911;192.03512273495335
suurida;VERB;O;1;no;1;5229;932062911;192.03512273495335
nädalas;NOUN;O;1;no;64919;5229;932062911;2.7210016469360103
idee;NOUN;O;1;no;101687;5229;932062911;1.746077634607897
avastan;VERB;O;1;no;3374;5229;932062911;41.61129419999731
enda;PRON;O;1;yes;2;5229;932062911;191.82953152640255
loo;NOUN;O;1;no;1;5229;932062911;192.03512273495335
tahaksin;VERB;O;2;no;35358;5229;932062911;9.84924273160447
proovime;VERB;O;1;no;10452;5229;932062911;15.73962231534947
reisisime;VERB;O;1;no;376;5229;932062911;136.98182948734174
esinesime;VERB;O;1;no;679;5229;932062911;111.21902776726381
vähemaks;ADJ;O;1;no;14548;5229;932062911;11.574943310210546
sõita;VERB;O;1;no;119810;5229;932062911;1.4839969295985407
koolitaja;NOUN;O;1;no;13626;5229;932062911;12.308014584682807
esialgu;ADV;O;2;yes;86090;5229;932062911;4.107345038708051
tohutu;ADJ;O;2;no;28033;5229;932062911;12.340026308725724
kartsin;VERB;O;1;no;11059;5229;932062911;14.942866363326834
juurusliku;ADJ;O;1;no;1;5229;932062911;192.03512273495335
loobuda;VERB;O;2;no;1;5229;932062911;383.0713172090019
iidol;NOUN;O;1;no;1250;5229;932062911;82.11534586379202
eeskuju;NOUN;O;1;no;23089;5229;932062911;7.459322316302053
õiged;ADJ;O;2;no;1;5229;932062911;383.0713172090019
karm;ADJ;O;1;no;1;5229;932062911;192.03512273495335
kriitikas;NOUN;O;1;no;537;5229;932062911;121.96948768609805
õpetajaid;NOUN;O;1;no;15050;5229;932062911;11.211371875528831
ümber;ADP;O;1;yes;1;5229;932062911;192.03512273495335
onu;NOUN;O;1;no;17834;5229;932062911;9.548132257847671
räägivad;VERB;O;1;no;51744;5229;932062911;3.40156117848171
peaksin;AUX;O;1;yes;35176;5229;932062911;4.962350128694719
juhtis;VERB;O;1;no;1;5229;932062911;192.03512273495335
paljudele;PRON;O;1;no;43211;5229;932062911;4.059094200023619
asjadele;NOUN;O;1;no;10785;5229;932062911;15.292300809028049
võtan;VERB;O;1;no;49135;5229;932062911;3.5788168950879453
kõigest;DET;O;2;yes;1;5229;932062911;383.0713172090019
pakub;VERB;O;1;no;266428;5229;932062911;0.670185549338999
tiidul;NOUN;O;1;no;1;5229;932062911;192.03512273495335
omadust;NOUN;O;1;no;2969;5229;932062911;45.93128968212065
mängib;VERB;O;2;no;66742;5229;932062911;5.281634099990437
kitarri;NOUN;O;1;no;7509;5229;932062911;21.227285298373705
räägib;VERB;O;4;no;2;5229;932062911;764.3245496558116
vähe;ADV;O;2;no;198716;5229;932062911;1.7902985540860081
seest;ADV;O;1;yes;1;5229;932062911;192.03512273495335
õigesti;ADV;O;1;no;1;5229;932062911;192.03512273495335
mõnuga;NOUN;O;1;no;8450;5229;932062911;19.098235892581496
musitseerib;VERB;O;1;no;603;5229;932062911;116.7254119354577
kuulen;VERB;O;1;no;10854;5229;932062911;15.202773987069705
vaimustav;ADJ;O;1;no;2077;5229;932062911;59.54706030847683
selged;ADJ;O;1;no;15312;5229;932062911;11.030543997215243
konkreetsed;ADJ;O;1;no;12815;5229;932062911;13.034118763648236
ega;CCONJ;O;1;yes;706448;5229;932062911;0.25330209321415625
efekte;NOUN;O;1;no;1860;5229;932062911;64.17507640225155
musitseerimisest;NOUN;O;1;no;116;5229;932062911;170.96383122875133
niisugust;DET;O;1;yes;11243;5229;932062911;14.717036942078586
nimelt;ADV;O;1;no;1;5229;932062911;192.03512273495335
meid;PRON;O;1;yes;214328;5229;932062911;0.8323924475828142
ümbritseb;VERB;O;1;no;6831;5229;932062911;23.08120553543687
vabanema;VERB;O;2;no;1131;5229;932062911;173.25193354495613
kurjusest;NOUN;O;2;no;593;5229;932062911;234.3704222150844
iseendas;PRON;O;1;no;2880;5229;932062911;47.00364469754099
muusikas;NOUN;O;1;no;7374;5229;932062911;21.572296351863958
otsima;VERB;O;1;no;56299;5229;932062911;3.1308321306553735
selgust;NOUN;O;1;no;11691;5229;932062911;14.194720560029527
neid;DET;O;1;yes;1;5229;932062911;192.03512273495335
ilusaid;ADJ;O;1;no;20629;5229;932062911;8.310390418735041
helisid;NOUN;O;1;no;5229;5229;932062911;29.08278217925794
vajab;VERB;O;1;no;1;5229;932062911;192.03512273495335
temalgi;PRON;O;1;no;1394;5229;932062911;77.0318162015171
periood;NOUN;O;1;no;24605;5229;932062911;7.016501907748222
ausalt;ADV;O;1;no;1;5229;932062911;192.03512273495335
rääkis;VERB;O;1;no;238346;5229;932062911;0.7488394399948172
muutunud;VERB;O;1;no;122893;5229;932062911;1.4470483310967923
tahtnud;VERB;O;1;no;75394;5229;932062911;2.3475709842685277
mängida;VERB;O;2;no;124259;5229;932062911;2.855073118196442
tahab;VERB;O;1;no;150780;5229;932062911;1.1810586923363642
ootab;VERB;O;1;no;105306;5229;932062911;1.6865974936254724
esinemisvõimalusi;NOUN;O;1;no;215;5229;932062911;156.20839006738476
võtab;VERB;O;1;no;215700;5229;932062911;0.8271206405255512
pakkuge;VERB;O;1;no;4407;5229;932062911;33.560355744105195
pakkumised;NOUN;O;1;no;24647;5229;932062911;7.004981036903548
teeb;VERB;O;1;yes;1;5229;932062911;192.03512273495335
tundub;VERB;O;1;no;283633;5229;932062911;0.6296656687239153
hakanud;VERB;O;1;yes;89906;5229;932062911;1.9725305107934004
teistmoodi;ADV;O;1;no;34390;5229;932062911;5.072774234188834
mängima;VERB;O;1;no;50675;5229;932062911;3.472021861471322
usun;VERB;O;1;no;106811;5229;932062911;1.6630383970179896
puhtus;NOUN;O;1;no;3890;5229;932062911;37.15854685856002
kõrval;ADV;O;1;yes;1;5229;932062911;192.03512273495335
Stalisega;PROPN;O;1;no;1;5229;932062911;192.03512273495335
paremaks;ADJ;O;1;no;74934;5229;932062911;2.3618050516674165
ümberringi;ADV;O;1;no;11063;5229;932062911;14.937883357743887
närviline;ADJ;O;1;no;3414;5229;932062911;41.228314983615725
süveneda;VERB;O;3;no;7667;5229;932062911;62.294976978562254
mõtetesse;NOUN;O;2;no;1073;5229;932062911;178.263552926313
muusikasse;NOUN;O;1;no;2189;5229;932062911;57.41020150596953
töötada;VERB;O;1;no;57797;5229;932062911;3.050974113189147
peas;NOUN;O;1;no;51450;5229;932062911;3.4206528089158295
olnu;NOUN;O;1;no;1620;5229;932062911;70.21020126933612
mõtiskleda;VERB;O;1;no;3255;5229;932062911;42.79392367441738
sai;AUX;O;2;yes;1;5229;932062911;383.0713172090019
valesti;ADV;O;1;no;1;5229;932062911;192.03512273495335
teil;PRON;O;1;yes;136063;5229;932062911;1.3079365549817237
kujunenud;VERB;O;1;no;1;5229;932062911;192.03512273495335
sisemine;ADJ;O;1;no;18331;5229;932062911;9.301784013330415
rituaal;NOUN;O;1;no;2627;5229;932062911;50.34495177916732
pühapäeva;NOUN;O;1;no;21965;5229;932062911;7.82549496980407
hommikul;NOUN;O;1;no;193248;5229;932062911;0.9227561673797745
laupäeva;NOUN;O;1;no;22881;5229;932062911;7.524477271277379
kindel;ADJ;O;1;no;178600;5229;932062911;0.9980437350744628
päev;NOUN;O;2;no;1;5229;932062911;383.0713172090019
kuus;NUM;O;1;no;154867;5229;932062911;1.1500765619859643
üks;NUM;O;1;yes;2;5229;932062911;191.82953152640255
19;NUM;O;1;no;1;5229;932062911;192.03512273495335
november;NOUN;O;1;no;32291;5229;932062911;5.39326705407381
