word;fc_count;stopword;rfc_count;fcTotalCount;rfcTotalCount;simpleMathsScore
novembriks;1;no;2874;3883;932046280;63.31099251017488
hold;1;no;2903;3883;932046280;62.83224501959828
want;1;no;2978;3883;932046280;61.62703719365157
tutvustades;1;no;2988;3883;932046280;61.46982722011612
märgivad;1;no;2993;3883;932046280;61.39152263102969
püüdlusi;1;no;2998;3883;932046280;61.31341728791524
kestaks;1;no;3036;3883;932046280;60.726249273095405
esinemised;1;no;3047;3883;932046280;60.558372677801295
konna;1;no;3054;3883;932046280;60.452024537572335
ajakirju;1;no;3074;3883;932046280;60.15022061264328
lummav;1;no;3074;3883;932046280;60.15022061264328
juhtuski;1;no;3096;3883;932046280;59.82169785955362
esinemas;1;no;3097;3883;932046280;59.80685025203009
hand;1;no;3159;3883;932046280;58.90047460584067
vanades;1;no;3161;3883;932046280;58.87169385401108
kaanel;1;no;3161;3883;932046280;58.87169385401108
jon;1;no;3200;3883;932046280;58.31603791389745
sõbrannadega;1;no;3221;3883;932046280;58.021161162321285
kaubaks;1;no;3227;3883;932046280;57.93745760541499
tüüpilise;1;no;3237;3883;932046280;57.79848707423294
näod;2;no;7533;3883;932046280;56.821554527037726
hitt;1;no;3316;3883;932046280;56.7236210822211
pileteid;3;no;11812;3883;932046280;56.577761425029664
mirror;1;no;3338;3883;932046280;56.431371401075054
nimelises;1;no;3345;3883;932046280;56.3390133637878
teismeliste;1;no;3374;3883;932046280;55.959586093082805
teismeliste;1;no;3374;3883;932046280;55.959586093082805
hoiatada;1;no;3378;3883;932046280;55.90765200007526
stseenid;1;no;3381;3883;932046280;55.86876464642501
harjuma;1;no;3391;3883;932046280;55.73952993315143
kinnitades;1;no;3425;3883;932046280;55.30456920610421
margaret;1;no;3441;3883;932046280;55.10222213483159
jahutada;1;no;3446;3883;932046280;55.0392919844737
seletust;1;no;3446;3883;932046280;55.0392919844737
leeri;1;no;3471;3883;932046280;54.72678509444578
meelitas;1;no;3493;3883;932046280;54.45469996902697
jaanuariks;1;no;3496;3883;932046280;54.41780692645762
viibisid;1;no;3510;3883;932046280;54.2462982908091
dani;1;no;3522;3883;932046280;54.10014902819082
närvis;1;no;3523;3883;932046280;54.088005462079934
kujundas;1;no;3545;3883;932046280;53.82221948495447
ideele;1;no;3551;3883;932046280;53.75018513671443
gaming;1;no;3553;3883;932046280;53.72621651664627
lennukiga;2;no;8099;3883;932046280;53.26039462759987
aja-;1;no;3610;3883;932046280;53.05198420973793
püüdsime;1;no;3611;3883;932046280;53.04030658619197
tuleku;1;no;3652;3883;932046280;52.56591072777279
poistest;1;no;3659;3883;932046280;52.48576312030968
kujutasin;1;no;3662;3883;932046280;52.45148891413845
pala;2;no;8280;3883;932046280;52.21392448029666
juustest;1;no;3693;3883;932046280;52.09992569554546
seitsmendal;1;no;3729;3883;932046280;51.69752734711291
politseiniku;1;no;3733;3883;932046280;51.653199789147415
staari;1;no;3760;3883;932046280;51.35596563775985
kuulajad;1;no;3779;3883;932046280;51.1488432090841
kummitama;1;no;3793;3883;932046280;50.99729256545164
saatesse;1;no;3858;3883;932046280;50.30526918551169
versioone;1;no;3868;3883;932046280;50.200467551837626
üheksanda;1;no;3869;3883;932046280;50.1900114002773
hooli;2;no;8652;3883;932046280;50.18726691425345
vallutanud;1;no;3887;3883;932046280;50.00254272852904
edetabeli;2;no;8709;3883;932046280;49.890548681498274
püstitati;1;no;3962;3883;932046280;49.23626662689812
plaati;2;no;8880;3883;932046280;49.02107827939412
professionaalselt;1;no;3989;3883;932046280;48.9661250506384
ajakirjanikke;1;no;3993;3883;932046280;48.926355982681024
daamid;1;no;4007;3883;932046280;48.78767151913768
asuti;1;no;4080;3883;932046280;48.077083503398725
kohtadel;1;no;4112;3883;932046280;47.77207704891616
püüdsid;2;no;9155;3883;932046280;47.68463189532604
viljakas;1;no;4181;3883;932046280;47.12739809710053
tegemistes;1;no;4187;3883;932046280;47.072160388137554
john;7;no;34896;3883;932046280;46.92300779860477
septembriks;1;no;4205;3883;932046280;46.907221463938015
seisukorra;1;no;4224;3883;932046280;46.73436863069796
lennuväljal;1;no;4241;3883;932046280;46.58078711920183
royal;2;no;9397;3883;932046280;46.56742507817651
ridu;1;no;4244;3883;932046280;46.553789222776985
saalist;1;no;4274;3883;932046280;46.28552159671906
kuulsid;1;no;4306;3883;932046280;46.00275649463313
väljudes;1;no;4310;3883;932046280;45.96765359470633
põgenema;1;no;4314;3883;932046280;45.93260422522596
kirikuõpetaja;1;no;4357;3883;932046280;45.55917168613978
lõpetame;1;no;4374;3883;932046280;45.41320501382037
omase;1;no;4390;3883;932046280;45.27667646032926
lennuvälja;1;no;4405;3883;932046280;45.149424397807344
detsembriks;1;no;4416;3883;932046280;45.056559893206256
mängiti;3;no;15100;3883;932046280;44.97427199414103
ründasid;1;no;4486;3883;932046280;44.47443876881372
soodsama;1;no;4491;3883;932046280;44.433433735413175
istuv;1;no;4519;3883;932046280;44.20519569069938
palusid;1;no;4556;3883;932046280;43.90716754787624
hirmul;1;no;4564;3883;932046280;43.843256634014175
klaveri;1;no;4578;3883;932046280;43.731859095466426
ameerikasse;1;no;4599;3883;932046280;43.56582015915783
box;1;no;4601;3883;932046280;43.55007266023788
liikumises;1;no;4611;3883;932046280;43.47150562243888
virve;1;no;4630;3883;932046280;43.32300656916845
kommenteerinud;1;no;4654;3883;932046280;43.13687274471685
lord;1;no;4668;3883;932046280;43.02903145408629
repertuaari;1;no;4747;3883;932046280;42.43046378668689
washingtonis;1;no;4798;3883;932046280;42.05281349428454
sound;1;no;4806;3883;932046280;41.99418334535617
pluusi;1;no;4830;3883;932046280;41.81926972069702
hävis;1;no;4983;3883;932046280;40.737562500772
tegelesin;1;no;5018;3883;932046280;40.49793164406427
tippu;3;no;16932;3883;932046280;40.362054526617406
tuletan;1;no;5045;3883;932046280;40.31499109062594
algusesse;1;no;5058;3883;932046280;40.2274967943084
