word;upos;ner tag;fc_count;stopword;rfc_count;fcTotalCount;rfcTotalCount
hapukoort;NOUN;O;1;no;3060;14924;932062911
osta;VERB;O;2;no;1;14924;932062911
hoopis;ADV;O;9;yes;1;14924;932062911
teised;DET;O;3;yes;2;14924;932062911
nimetused;NOUN;O;1;no;3230;14924;932062911
oledki;AUX;O;1;no;6144;14924;932062911
kogu;DET;O;11;yes;1;14924;932062911
tõlkimisraamatuga;NOUN;O;1;no;0;14924;932062911
tea;VERB;O;9;no;1;14924;932062911
arst;NOUN;O;4;no;1;14924;932062911
häda;NOUN;O;1;no;33444;14924;932062911
kõik;DET;O;14;yes;1;14924;932062911
teenindus;NOUN;O;1;no;12351;14924;932062911
britid;NOUN;O;1;no;4281;14924;932062911
avastamine;NOUN;O;1;no;4339;14924;932062911
väsitav;ADJ;O;1;no;5337;14924;932062911
pette;NOUN;O;1;no;70;14924;932062911
laulmist;NOUN;O;1;no;2664;14924;932062911
ooperis;NOUN;O;1;no;1607;14924;932062911
kaheaastane;ADJ;O;1;no;2911;14924;932062911
leping;NOUN;O;1;no;40474;14924;932062911
laua;NOUN;O;3;no;48809;14924;932062911
saatuse;NOUN;O;1;no;12511;14924;932062911
märk;NOUN;O;1;no;28913;14924;932062911
sensatsioon;NOUN;O;1;no;597;14924;932062911
ülikoolis;NOUN;O;3;no;32165;14924;932062911
ülikoolist;NOUN;O;1;no;8869;14924;932062911
otse;ADV;O;1;no;1;14924;932062911
suurte;ADJ;O;4;no;68929;14924;932062911
teatri;NOUN;O;2;no;35581;14924;932062911
olnudki;AUX;O;1;no;15063;14924;932062911
praktiliselt;ADV;O;5;no;43080;14924;932062911
läinud;VERB;O;9;yes;5;14924;932062911
arvatud;VERB;O;1;no;1;14924;932062911
mõni;DET;O;6;yes;285029;14924;932062911
üksik;ADJ;O;1;no;13035;14924;932062911
reeglina;NOUN;O;2;no;37249;14924;932062911
minnakse;VERB;O;1;yes;18372;14924;932062911
seitset;NUM;O;1;no;4558;14924;932062911
väikesesse;ADJ;O;1;no;3195;14924;932062911
teatritesse;NOUN;O;1;no;161;14924;932062911
repertuaari;NOUN;O;1;no;4726;14924;932062911
üritatakse;VERB;O;3;no;9495;14924;932062911
võidelda;VERB;O;1;no;27996;14924;932062911
suur;ADJ;O;14;no;1;14924;932062911
shanss;NOUN;O;1;no;103;14924;932062911
Folk;PROPN;O;1;no;681;14924;932062911
sober;NOUN;O;1;no;261;14924;932062911
lihtsalt;ADV;O;15;no;1;14924;932062911
õige;ADJ;O;3;no;1;14924;932062911
koht;NOUN;O;5;no;1;14924;932062911
ajal;ADP;O;4;no;1;14924;932062911
nüüdseks;ADJ;O;1;no;57803;14924;932062911
sellest;PRON;O;12;yes;933385;14924;932062911
kujunenud;VERB;O;2;no;1;14924;932062911
koduteater;NOUN;O;1;no;57;14924;932062911
tänapäeval;NOUN;O;1;no;1;14924;932062911
suuremaid;ADJ;O;2;no;35186;14924;932062911
luksusi;NOUN;O;1;no;55;14924;932062911
inimene;NOUN;O;12;no;352593;14924;932062911
saab;AUX;O;7;yes;2;14924;932062911
jala;NOUN;O;1;no;33864;14924;932062911
hoida;VERB;O;2;no;232280;14924;932062911
fännklubi;NOUN;O;1;no;769;14924;932062911
alati;ADV;O;23;yes;4;14924;932062911
kahe;NUM;O;3;no;331369;14924;932062911
käega;NOUN;O;2;no;44666;14924;932062911
oodatakse;VERB;O;1;no;25129;14924;932062911
tõttu;ADP;O;1;yes;1;14924;932062911
võin;AUX;O;6;yes;1;14924;932062911
õnnelikuks;ADJ;O;1;no;10654;14924;932062911
lugeda;VERB;O;4;no;1;14924;932062911
saan;AUX;O;4;yes;199972;14924;932062911
ise;ADV;O;9;yes;1;14924;932062911
rolle;NOUN;O;2;no;5655;14924;932062911
valida;VERB;O;2;no;170584;14924;932062911
määrata;VERB;O;1;no;47766;14924;932062911
umbes;ADV;O;8;yes;1;14924;932062911
etendust;NOUN;O;1;no;10819;14924;932062911
aastas;NOUN;O;2;no;1;14924;932062911
saan;VERB;O;1;yes;199972;14924;932062911
sellele;PRON;O;2;yes;1;14924;932062911
olen;AUX;O;42;yes;1162614;14924;932062911
