lemma;upos;ner tag;fc_count;stopword;rfc_count;fcTotalCount;rfcTotalCount
siduma;VERB;O;5;no;61677;8801;932062935
loomulikult;ADV;O;8;no;169880;8801;932062935
tihedalt;ADV;O;2;no;26804;8801;932062935
liiga;ADV;O;5;yes;474419;8801;932062935
Taani;PROPN;O;8;no;52674;8801;932062935
rahasüsteem;NOUN;O;2;no;788;8801;932062935
eks;ADV;O;26;yes;283895;8801;932062935
niivõrd;ADV;O;2;yes;53689;8801;932062935
Kopenhaagen;PROPN;O;1;no;8177;8801;932062935
linn;NOUN;O;1;no;624130;8801;932062935
ilmselt;ADV;O;4;no;335183;8801;932062935
natukene;ADV;O;3;no;65888;8801;932062935
väiksem;ADJ;O;2;no;223864;8801;932062935
eesti;ADJ;O;6;no;457012;8801;932062935
koguma;VERB;O;2;no;170697;8801;932062935
jõudma;VERB;O;8;no;869599;8801;932062935
keel;NOUN;O;6;no;560971;8801;932062935
inglise;ADJ;O;2;no;115537;8801;932062935
vastu;ADP;O;2;yes;1054024;8801;932062935
vahetama;VERB;O;5;no;237624;8801;932062935
sõjavägi;NOUN;O;1;no;32824;8801;932062935
kinni;ADV;O;6;no;325823;8801;932062935
panema;VERB;O;8;no;1364289;8801;932062935
moskev;ADJ;O;1;no;0;8801;932062935
miitlik;ADJ;O;1;no;0;8801;932062935
filosoof;NOUN;O;1;no;10302;8801;932062935
kaks;NUM;O;20;no;1334057;8801;932062935
kuu;NOUN;O;6;no;540164;8801;932062935
okupeerima;VERB;O;1;no;3118;8801;932062935
raha;NOUN;O;26;no;546273;8801;932062935
võima;AUX;O;32;yes;3045900;8801;932062935
põhi;NOUN;O;5;no;119247;8801;932062935
laskma;VERB;O;1;no;478673;8801;932062935
küll;ADV;O;16;yes;1080941;8801;932062935
hästi;ADV;O;11;no;574210;8801;932062935
paanika;NOUN;O;1;no;20746;8801;932062935
käivituma;VERB;O;1;no;17535;8801;932062935
kusagilt;ADV;O;2;no;24582;8801;932062935
mingi;DET;O;21;yes;1065354;8801;932062935
infoallikas;NOUN;O;1;no;2307;8801;932062935
rääkima;VERB;O;24;no;1111753;8801;932062935
mismoodi;ADV;O;2;no;16892;8801;932062935
devalveerima;VERB;O;4;no;883;8801;932062935
käituma;VERB;O;1;no;75508;8801;932062935
pank;NOUN;O;8;no;113188;8801;932062935
valuutavahetuspunkt;NOUN;O;1;no;241;8801;932062935
tekkima;VERB;O;8;no;521616;8801;932062935
näide;NOUN;O;3;no;796083;8801;932062935
emotsionaalselt;ADV;O;1;no;11228;8801;932062935
punane;ADJ;O;2;no;162642;8801;932062935
keegi;PRON;O;3;yes;909915;8801;932062935
ähvardama;VERB;O;5;no;34939;8801;932062935
õnnestuma;VERB;O;4;no;177653;8801;932062935
teema;NOUN;O;4;no;630317;8801;932062935
kuidagi;ADV;O;4;yes;230399;8801;932062935
pakiksus;NOUN;O;1;no;0;8801;932062935
uus;ADJ;O;5;no;1922794;8801;932062935
jätkama;VERB;O;1;no;242503;8801;932062935
kasutama;VERB;O;5;no;1455497;8801;932062935
lugu;NOUN;O;1;no;453200;8801;932062935
selline;DET;O;38;yes;1661084;8801;932062935
loosung;NOUN;O;1;no;10343;8801;932062935
ikka;ADV;O;6;yes;1123255;8801;932062935
meelest;ADP;O;3;yes;91489;8801;932062935
programmeerima;VERB;O;1;no;6904;8801;932062935
eluvaldkond;NOUN;O;1;no;5622;8801;932062935
julgema;VERB;O;4;no;108437;8801;932062935
oma;PRON;O;37;yes;4535142;8801;932062935
süsteem;NOUN;O;12;no;271717;8801;932062935
üleval;ADV;O;2;yes;53081;8801;932062935
