lemma;fc_count;stopword;rfc_count;fcTotalCount;rfcTotalCount;simpleMathsScore
kontseptsioon;1;no;26913;5042;932020281;6.67204848989772
keemiline;1;no;27003;5042;932020281;6.6505527344606215
tegelikult;17;no;475760;5042;932020281;6.594203543496125
eeskätt;1;no;27531;5042;932020281;6.5271824171461486
tüüpiline;1;no;27643;5042;932020281;6.501599078148261
lähiaeg;1;no;28325;5042;932020281;6.350042613111501
näiteks;9;no;261356;5042;932020281;6.346434601251742
vestlema;1;no;28533;5042;932020281;6.305216278327714
jaa;1;no;28548;5042;932020281;6.302008063296876
uks;8;no;234696;5042;932020281;6.279993611984099
sent;1;no;28783;5042;932020281;6.252168895062429
tool;2;no;58541;5042;932020281;6.231979290808651
sügavam;1;no;29212;5042;932020281;6.16319003852708
maarja;1;no;29215;5042;932020281;6.162576725173279
sügav;2;no;59566;5042;932020281;6.126392715522235
puudu;2;no;59708;5042;932020281;6.112046616006225
põhimõtteliselt;2;no;59727;5042;932020281;6.110132162308058
kaart;7;no;211044;5042;932020281;6.10866811829275
niiet;1;no;29855;5042;932020281;6.034469195827709
kõlama;3;no;91397;5042;932020281;6.016374204973162
järjekord;2;no;60833;5042;932020281;6.000720619321946
jaksama;1;no;30340;5042;932020281;5.940880181313204
peen;1;no;30393;5042;932020281;5.93082857889491
siduma;2;no;61677;5042;932020281;5.919827991071625
põhiliselt;1;no;30467;5042;932020281;5.916851030840527
side;2;no;61959;5042;932020281;5.893283796272062
uurimus;1;no;30853;5042;932020281;5.844996286759407
oletama;1;no;30965;5042;932020281;5.824472752637726
hoone;7;no;221416;5042;932020281;5.82371345288642
trahv;1;no;31018;5042;932020281;5.814810879087261
barcelona;1;no;31019;5042;932020281;5.814628887688303
koosnema;3;no;94869;5042;932020281;5.798330063288695
vaatamine;2;no;63508;5042;932020281;5.751621882439347
sari;4;no;127932;5042;932020281;5.745104332541352
tihtipeale;1;no;31651;5042;932020281;5.701844823309781
särav;1;no;32289;5042;932020281;5.592342557379911
nimelt;5;no;164850;5042;932020281;5.580753237853512
meelitama;1;no;32437;5042;932020281;5.567539111203715
kaubandus;1;no;32680;5042;932020281;5.52728827258372
kujundamine;1;no;32828;5042;932020281;5.503057284049546
soojus;1;no;33305;5042;932020281;5.426387109398034
reform;1;no;33857;5042;932020281;5.340286217214427
vein;2;no;69133;5042;932020281;5.28986688745086
soe;6;no;209140;5042;932020281;5.284091856746438
karjuma;1;no;34440;5042;932020281;5.252267867120119
käsitöö;1;no;34474;5042;932020281;5.247224173814155
enam-vähem;1;no;34786;5042;932020281;5.201389216295502
ahi;2;no;70629;5042;932020281;5.1792809730445
paraku;3;no;106945;5042;932020281;5.14925175484188
seonduv;1;no;36023;5042;932020281;5.027282466748796
ajalooline;2;no;73200;5042;932020281;4.999656414976031
viin;1;no;36245;5042;932020281;4.9972623979218
kollektsioon;1;no;36350;5042;932020281;4.983188253124202
suuresti;1;no;36375;5042;932020281;4.97984894311258
taavi;1;no;36596;5042;932020281;4.950522945946003
ükskord;1;no;36974;5042;932020281;4.901156178881153
asutama;1;no;37213;5042;932020281;4.87044767962952
täiskasvanud;1;no;37453;5042;932020281;4.839995502333429
avalikult;1;no;37480;5042;932020281;4.836593445435431
pikemalt;1;no;37603;5042;932020281;4.821155514186128
ühiskondlik;1;no;38127;5042;932020281;4.756476844028535
isamaa;1;no;38156;5042;932020281;4.7529479411195314
