lemma;upos;ner tag;count;stopword
elu;NOUN;O;2;no
nõudma;ADJ;O;1;no
lennuõnnetus;NOUN;O;1;no
puudulik;ADJ;O;1;no
Donald;PROPN;O;1;no
Tuski;PROPN;O;1;no
taotlema;VERB;O;2;no
teema;NOUN;O;1;no
kõnelus;NOUN;O;1;no
mure;NOUN;O;1;no
juurdlus;NOUN;O;1;no
kontekst;NOUN;O;1;no
sõnastus;NOUN;O;1;no
Vene;PROPN;O;2;no
uurija;NOUN;O;1;no
Kaczynski;PROPN;O;1;no
lennuk;NOUN;O;1;no
allakukkumine;NOUN;O;1;no
peamine;ADJ;O;1;no
põhjus;NOUN;O;2;no
inimlik;ADJ;O;1;no
tegur;NOUN;O;1;no
meeskond;NOUN;O;1;no
viga;NOUN;O;1;no
tippametnik;NOUN;O;1;no
arendama;VERB;O;1;no
kinnitus;NOUN;O;1;no
jääma;VERB;O;1;no
eesmärk;NOUN;O;1;no
saavutama;VERB;O;2;no
alus;NOUN;O;2;no
viisavaba;ADJ;O;1;no
režiim;NOUN;O;1;no
sisseseadmine;NOUN;O;1;no
Krister;PROPN;O;2;no
Paris;PROPN;O;2;no
käima;VERB;O;1;no
pressikonverents;NOUN;O;1;no
iga;DET;O;1;yes
kuulutav;ADJ;O;1;no
amet;NOUN;O;1;no
olev;ADJ;O;1;yes
kuidas;ADV;O;1;yes
maailm;NOUN;O;2;no
vektoriline;ADJ;O;1;no
multipolaarne;ADJ;O;1;no
mõistagi;ADV;O;1;no
rahuarmastav;ADJ;O;1;no
poliitika;NOUN;O;1;no
nii;ADV;O;5;yes
tahtma;VERB;O;2;no
lääneriik;NOUN;O;1;no
veelgi;ADV;O;2;yes
saatas;NOUN;O;1;no
tasu;NOUN;O;1;no
viisareziim;NOUN;O;1;no
kaotamine;NOUN;O;1;no
tehniline;ADJ;O;1;no
organisatoorne;ADJ;O;1;no
kokkulepe;NOUN;O;1;no
vastav;ADJ;O;1;no
lahendamine;NOUN;O;1;no
arvestama;VERB;O;1;no
lahendama;VERB;O;1;no
seletus;NOUN;O;1;no
setu;NOUN;O;1;no
hulgas;ADP;O;1;yes
tekitanud;ADJ;O;1;no
ukaas;NOUN;O;1;no
piiriala;NOUN;O;1;no
maa;NOUN;O;2;no
omandamine;NOUN;O;1;no
välismaalane;NOUN;O;1;no
tegemine;NOUN;O;1;no
juba;ADV;O;4;yes
ligi;ADV;O;1;yes
10;NUM;O;1;no
maakoodeks;NOUN;O;1;no
seletama;VERB;O;1;no
täitma;VERB;O;1;no
pandud;ADJ;O;1;no
ülesanne;NOUN;O;1;no
norm;NOUN;O;1;no
2001.-st;ADJ;O;1;no
kiri;NOUN;O;1;no
territoorium;NOUN;O;1;no
kus;ADV;O;4;yes
torm;NOUN;O;1;no
lähtuma;VERB;O;1;no
taoline;ADJ;O;1;yes
omandivorm;NOUN;O;1;no
piir;NOUN;O;1;no
mitu;DET;O;1;yes
vastuolu;NOUN;O;1;no
rahvusvaheline;ADJ;O;3;no
õigus;NOUN;O;3;no
teravaim;ADJ;O;1;no
konflikt;NOUN;O;1;no
leidma;VERB;O;1;no
nägemus;NOUN;O;1;no
ühene;ADJ;O;1;no
jõud;NOUN;O;1;no
kuulama;VERB;O;1;no
osapool;NOUN;O;1;no
tõeliselt;ADV;O;1;no
ärrituma;VERB;O;1;no
üksnes;ADV;O;1;no
eurosaadik;NOUN;O;1;no
Kristiina;PROPN;O;1;no
Ojuland;PROPN;O;1;no
ettepanek;NOUN;O;1;no
peale;ADP;O;1;yes
must;ADJ;O;1;yes
viisanimekiri;NOUN;O;1;no
ametnik;NOUN;O;1;no
Mihhail;PROPN;O;1;no
Hodorkovski;PROPN;O;1;no
teine;ADJ;O;1;yes
süüdimõistmine;NOUN;O;1;no
ütlema;VERB;O;2;no
umbes;ADV;O;1;yes
venelane;NOUN;O;1;no
eurooplane;NOUN;O;1;no
elama;VERB;O;2;no
austama;VERB;O;1;no
inimõigus;NOUN;O;1;no
võrdne;ADJ;O;2;no
väga;ADV;O;3;yes
inimene;NOUN;O;5;no
meelest;ADP;O;1;yes
kodakondsus;NOUN;O;1;no
milline;DET;O;1;yes
nimetama;VERB;O;1;no
Euroopa;PROPN;O;1;no
liit;NOUN;O;1;no
häbiväärne;ADJ;O;1;no
rahvusringhääling;NOUN;O;1;no
raadiouudis;NOUN;O;1;no
saarlane;NOUN;O;4;no
sõiduautosoodustus;NOUN;O;1;no
saamine;NOUN;O;1;no
võtma;VERB;O;1;no
kasutus;NOUN;O;1;no
sooduskaar;NOUN;O;1;no
escort;NOUN;O;1;no
kaart;NOUN;O;1;no
läbi;ADP;O;1;yes
internetiettevõte;NOUN;O;1;no
koduleht;NOUN;O;1;no
reisija;NOUN;O;1;no
piletisoodustus;NOUN;O;1;no
ID-kaart;NOUN;O;2;no
Hiiu;PROPN;O;1;no
Saare;PROPN;O;1;no
maakond;NOUN;O;1;no
elanik;NOUN;O;1;no
rahvastikuregister;NOUN;O;1;no
põhjal;ADP;O;1;no
selgitama;VERB;O;1;no
Väinameri;PROPN;O;1;no
Liin;PROPN;O;1;no
juhataja;NOUN;O;1;no
Urmas;PROPN;O;1;no
Treier;PROPN;O;1;no
näiteks;ADV;O;2;no
sõiduk;NOUN;O;1;no
omama;VERB;O;1;no
sooduskaart;NOUN;O;1;no
automaatselt;ADV;O;3;no
lugema;VERB;O;2;no
sõit;NOUN;O;1;no
saaja;NOUN;O;2;no
hulka;ADP;O;1;yes
samamoodi;ADV;O;1;no
liinibuss;NOUN;O;3;no
sadam;NOUN;O;1;no
soodustus;NOUN;O;2;no
vanem;ADJ;O;1;no
sõiduauto;NOUN;O;1;no
neli;NUM;O;1;no
juhtsapeks;NOUN;O;1;no
kassa;NOUN;O;1;yes
juurde;ADP;O;1;yes
esitama;VERB;O;1;no
tuvastama;VERB;O;1;no
sooduspilet;NOUN;O;1;no
60;NUM;O;1;no
graafik;NOUN;O;1;no
tegutsenud;ADJ;O;1;no
Aavo;PROPN;O;2;no
keerendav;ADJ;O;1;no
tagasivaateline;ADJ;O;1;no
töö;NOUN;O;4;no
1950.sest;ADJ;O;1;no
viimane;ADJ;O;1;no
valmima;VERB;O;1;no
tagasi;ADP;O;1;yes
minevik;NOUN;O;1;no
palju;ADV;O;1;yes
hoolitsema;VERB;O;1;no
säilima;VERB;O;1;no
tundma;VERB;O;1;no
rõõm;NOUN;O;1;no
vahest;ADV;O;2;no
inspema;VERB;O;1;no
katsioon;NOUN;O;1;no
eelnev;ADJ;O;1;no
kütnud;VERB;O;1;no
edasi;ADV;O;1;yes
hindu;NOUN;O;1;no
ühtlasi;ADV;O;1;yes
üheksakümnes;ADJ;O;1;no
sünnipäev;NOUN;O;1;no
tähistav;ADJ;O;1;no
Keerendilooming;PROPN;O;1;no
kajastama;VERB;O;1;no
graafiline;ADJ;O;1;no
kunst;NOUN;O;1;no
areng;NOUN;O;1;no
Juta;PROPN;O;1;no
Kivimäe;PROPN;O;1;no
keerama;VERB;O;1;no
eksperimenteerima;VERB;O;1;no
hoopis;ADV;O;1;yes
teistmoodi;ADV;O;1;no
teine;PRON;O;1;yes
kangekaelne;ADJ;O;1;no
fantastiline;ADJ;O;1;no
menu;NOUN;O;1;no
peaaegu;ADV;O;1;yes
niisugune;DET;O;1;yes
graafikatriennaal;NOUN;O;1;no
suurüritus;NOUN;O;1;no
märkima;VERB;O;1;no
kõrgetasemeline;ADJ;O;1;no
niukne;ADJ;O;2;no
valge;ADJ;O;1;no
ruum;NOUN;O;1;no
